Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
F16,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F16,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F17,PCO,[9.42599016 2.4755477 ],0.3978946381756483,0.5694036483764648,
F17,GA,[9.40681312 2.46235283],0.39944286261177275,0.24503135681152344,
F17,PSO,[3.14159266 2.27500003],0.39788735772973816,0.016915082931518555,
F17,SA,[7.11843036 3.93358711],23.824399274107215,0.0018434524536132812,
F17,GOA,[3.13712311 2.27604   ],0.39798926104769805,1.634756088256836,
F17,DA,[3.70353999 2.72552134],2.5935562717002245,0.34130120277404785,
F17,SSA,[3.14159264 2.27500019],0.39788735772977013,0.04696989059448242,
F17,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F17,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F18,PCO,[-1.06185103e-04 -9.98639144e-01],3.0008324232500105,0.6480824947357178,
F18,GA,[2.71485001 0.80532105],426.44737175224105,0.2632770538330078,
F18,PSO,[-3.63124313e-09 -1.00000000e+00],2.999999999999927,0.02486276626586914,
F18,SA,[0.5 0.5],1210.6875,0.002011537551879883,
F18,GOA,[ 0.14392651 -0.89090116],9.143284831863072,1.6366102695465088,
F18,DA,[-0.24543654 -0.91706606],31.59887600270239,0.3391454219818115,
F18,SSA,[-8.40888061e-09 -1.00000009e+00],3.000000000003651,0.04904365539550781,
F18,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F18,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F19,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
F19,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,3) "
